Influencer insta name,Category,Followers,Top audience country,Authentic engagement,Engagement average
433,Sports with a ball,48500000.0,Spain,383100.0,637000.0
__youngbae__,Music,12700000.0,Indonesia,478000.0,542300.0
_agentgirl_,Shows,18800000.0,Russia,310800.0,377900.0
_imyour_joy,Lifestyle,13500000.0,Indonesia,1100000.0,1400000.0
_jeongjaehyun,Music,11100000.0,Indonesia,2500000.0,3100000.0
_mariahwasa,Music,7900000.0,Brazil,915100.0,1200000.0
_rl9,Sports with a ball,25000000.0,Poland,588600.0,749000.0
_seorina,Lifestyle,3000000.0,South Korea,803900.0,997800.0
_shotaroo_,Music,4900000.0,Indonesia,860100.0,1100000.0
03_hu,Music,4100000.0,South Korea,711000.0,872600.0
21savage,Music,13200000.0,United States,263500.0,462000.0
333cyj333,Music,6500000.0,Thailand,359300.0,427700.0
3gerardpique,Sports with a ball,19800000.0,Spain,446100.0,658800.0
50cent,Music,27900000.0,United States,177500.0,283200.0
9gag,Humor & Fun & Happiness,58300000.0,Indonesia,214700.0,276900.0
abdevilliers17,Sports with a ball,17200000.0,India,534000.0,615900.0
aboflah,Humor & Fun & Happiness,7200000.0,Iraq,793400.0,949400.0
achrafhakimi,Sports with a ball,8800000.0,Morocco,520000.0,764500.0
actorleeminho,Cinema & Actors/actresses,28900000.0,Indonesia,2800000.0,3700000.0
actorprabhas,Music,8200000.0,India,482200.0,540200.0
actorsuriya,Music,4100000.0,India,491300.0,637700.0
acunilicali,Cinema & Actors/actresses,13600000.0,Turkey,233800.0,286300.0
adamsandler,Cinema & Actors/actresses,12700000.0,United States,395900.0,503900.0
addisonraee,Beauty,40500000.0,United States,1100000.0,1600000.0
adele,Music,49700000.0,United States,2600000.0,3600000.0
adidasoriginals,Clothing & Outfits,34200000.0,United States,52400.0,71800.0
adinross,Music,2600000.0,United States,551100.0,1100000.0
aespa_official,Music,8300000.0,Indonesia,1100000.0,1600000.0
agustd,Music,31500000.0,United States,10900000.0,10900000.0
aishwaryaraibachchan_arb,Cinema & Actors/actresses,10000000.0,India,247600.0,316500.0
aislinnderbez,Cinema & Actors/actresses,12000000.0,Mexico,235700.0,295400.0
akshaykumar,Cinema & Actors/actresses,61100000.0,India,815300.0,971000.0
alejandrospeitzer,Lifestyle,5100000.0,Mexico,313300.0,488600.0
aleoliveiracm,Humor & Fun & Happiness,8300000.0,Brazil,235800.0,598400.0
alexademie,Music,10800000.0,United States,1200000.0,2100000.0
alexandradaddario,Cinema & Actors/actresses,22400000.0,India,487900.0,596600.0
alexis_officia1,Sports with a ball,13400000.0,Chile,185200.0,304800.0
alexisren,Lifestyle,15800000.0,United States,102000.0,158100.0
alfinetei,Humor & Fun & Happiness,21100000.0,Brazil,99500.0,223600.0
aliaabhatt,Cinema & Actors/actresses,61800000.0,India,1200000.0,1500000.0
alidaei,Sports with a ball,8000000.0,Iran,555800.0,937000.0
aliiiiiiiikarimi8,Sports with a ball,9100000.0,Iran,328700.0,495100.0
alishalehmann7,Sports with a ball,6800000.0,Brazil,373800.0,705300.0
alluarjunonline,Cinema & Actors/actresses,17600000.0,India,1600000.0,2000000.0
alok,Music,27000000.0,Brazil,249600.0,319900.0
alvaromorata,Sports with a ball,16200000.0,Italy,113100.0,175200.0
alvaromorte,Cinema & Actors/actresses,12400000.0,India,244500.0,334700.0
alvxaro,Lifestyle,9200000.0,Brazil,169600.0,424700.0
alwaysramcharan,Lifestyle,5600000.0,India,596800.0,668300.0
amadorat,Fashion,8100000.0,Mexico,505000.0,564400.0
amandacerny,Humor & Fun & Happiness,24100000.0,India,112900.0,180600.0
amandamanopo,Modeling,15200000.0,Indonesia,189600.0,250500.0
amarantavp,Music,4900000.0,Mexico,483800.0,605600.0
amauryguichon,Food & Cooking,6700000.0,United States,357300.0,435700.0
amitabhbachchan,Cinema & Actors/actresses,30000000.0,India,88500.0,103600.0
amybethmcnulty,Lifestyle,6300000.0,Brazil,561400.0,771300.0
ana_d_armas,Cinema & Actors/actresses,6100000.0,United States,543400.0,735300.0
ananyapanday,Cinema & Actors/actresses,21900000.0,India,318200.0,371800.0
